id,name,location,rating,dish_name,available_quantity
1,Centizu,Lamoso,4.1,Cabbage Roll,99
2,Quatz,Eloy Alfaro,0.7,"Shrimp - Baby, Warm Water",52
3,Topdrive,Ujungpangkah,4.7,"Crab - Back Fin Meat, Canned",63
4,Yoveo,Kveda Chkhorots’q’u,2.2,Bar Bran Honey Nut,23
5,Demivee,Žeravice,2.0,Flower - Commercial Bronze,77
6,Voonte,Yuanqian,3.6,Soup - Campbells - Chicken Noodle,6
7,Tanoodle,Aranyaprathet,2.4,Plate Pie Foil,0
8,Yambee,Yanagawamachi-saiwaichō,1.3,"Wine - Sherry Dry Sack, William",73
9,Tazzy,Zlataritsa,2.6,Cookies Oatmeal Raisin,73
10,Edgeify,Świdwin,3.7,Tea - Jasmin Green,16
11,Wikibox,Nafada,2.8,"Napkin - Dinner, White",82
12,Rooxo,Podbuzh,4.3,Chocolate - Milk,95
13,Skipfire,Maroanging,1.9,Mountain Dew,84
14,Skipfire,Sulahan,0.8,Cheese - Feta,11
15,Katz,Llorente,0.5,Basil - Seedlings Cookstown,90
16,Yakitri,Poitiers,4.7,Milk - Buttermilk,29
17,Browsetype,Wiphawadi,3.2,Pork - Backs - Boneless,29
18,Gabvine,Shuishaping,3.3,Dry Ice,30
19,Edgewire,Włocławek,0.3,Ocean Spray - Ruby Red,80
20,Devify,Sumberkemuning,3.9,Pork - Hock And Feet Attached,98
21,Photofeed,Krupka,2.4,Cheese - Cheddar With Claret,37
22,Twitterbeat,Klumpit,3.6,"Nut - Pistachio, Shelled",93
23,Twitterwire,Oakland,4.6,Cabbage - Green,13
24,Jaxspan,Turpo,2.2,"Juice - Grape, White",7
25,Flipstorm,Cochrane,1.5,Garam Masala Powder,42
26,Oyope,Yancheng,4.7,Straws - Cocktale,11
27,Topdrive,Bradashesh,4.7,Flour - Whole Wheat,44
28,Topicblab,Lingcheng,1.9,Cheese - Cheddarsliced,49
29,Zoonder,Panay,0.1,"Champagne - Brights, Dry",23
30,Mudo,Gemuruh,0.1,Wine - Pinot Noir Mondavi Coastal,21
31,Edgeify,Nakatsugawa,3.4,Sage - Fresh,67
32,Tagopia,Guazapa,1.0,Neckerchief Blck,82
33,Riffpath,Haylaastay,0.5,Apple - Fuji,36
34,Quinu,Pagersari,3.3,Mousse - Mango,90
